"model","data","subjects","train","test","accuracy","sensitivity","specifity"
"QDA","Polynomial Coefficients","All shots",1000,393,0.697201017811705,0.719745222929936,0.682203389830508
"QDA","Polynomial Coefficients","Jump shots",400,251,0.716157205240175,0.777777777777778,0.692771084337349
"QDA","Eigenfunctions","All shots",1000,393,0.694656488549618,0.681528662420382,0.703389830508475
"QDA","Eigenfunctions","Jump shots",400,251,0.762557077625571,0.631578947368421,0.808641975308642
"SVM","Polynomial Coefficients","All shots",1000,393,0.648854961832061,0.532544378698225,0.736607142857143
"SVM","Polynomial Coefficients","Jump shots",400,251,0.867521367521368,0.677966101694915,0.931428571428571
"SVM","Eigenfunctions","All shots",1000,393,0.687022900763359,0.601226993865031,0.747826086956522
"SVM","Eigenfunctions","Jump shots",400,251,0.899082568807339,0.769230769230769,0.939759036144578
"Random Forest","Time Points","All Shots",1000,393,0.753180661577608,0.740506329113924,0.761702127659574
"Random Forest","Poly+Eigen","All Shots",1000,393,0.697201017811705,0.670886075949367,0.714893617021277
